"ålder","kön","år","Folkmängd, antal"
"0 år","män","1860",60589
"0 år","män","1861",59797
"0 år","män","1862",62371
"0 år","män","1863",61515
"0 år","män","1864",61931
"0 år","män","1865",60998
"0 år","män","1866",63036
"0 år","män","1867",58645
"0 år","män","1868",50882
"0 år","män","1869",53024
"0 år","män","1870",54338
"0 år","män","1871",59158
"0 år","män","1872",58539
"0 år","män","1873",60461
"0 år","män","1874",60280
"0 år","män","1875",61254
"0 år","män","1876",61964
"0 år","män","1877",63885
"0 år","män","1878",61540
"0 år","män","1879",64745
"0 år","män","1880",61119
"0 år","män","1881",61969
"0 år","män","1882",61897
"0 år","män","1883",61830
"0 år","män","1884",64718
"0 år","män","1885",63933
"0 år","män","1886",65071
"0 år","män","1887",65731
"0 år","män","1888",63885
"0 år","män","1889",61612
"0 år","män","1890",61899
"0 år","män","1891",63321
"0 år","män","1892",60832
"0 år","män","1893",62542
"0 år","män","1894",62189
"0 år","män","1895",64313
"0 år","män","1896",63431
"0 år","män","1897",63627
"0 år","män","1898",65504
"0 år","män","1899",63253
"0 år","män","1900",64689
"0 år","män","1901",66293
"0 år","män","1902",65701
"0 år","män","1903",63920
"0 år","män","1904",65194
"0 år","män","1905",64695
"0 år","män","1906",66011
"0 år","män","1907",66472
"0 år","män","1908",66778
"0 år","män","1909",68024
"0 år","män","1910",64911
"0 år","män","1911",64677
"0 år","män","1912",64459
"0 år","män","1913",63467
"0 år","män","1914",62608
"0 år","män","1915",59578
"0 år","män","1916",59300
"0 år","män","1917",58990
"0 år","män","1918",57558
"0 år","män","1919",56457
"0 år","män","1920",67040
"0 år","män","1921",62364
"0 år","män","1922",57043
"0 år","män","1923",55898
"0 år","män","1924",53284
"0 år","män","1925",52227
"0 år","män","1926",49996
"0 år","män","1927",47917
"0 år","män","1928",47835
"0 år","män","1929",45467
"0 år","män","1930",45512
"0 år","män","1931",44695
"0 år","män","1932",44042
"0 år","män","1933",42008
"0 år","män","1934",41997
"0 år","män","1935",42224
"0 år","män","1936",43922
"0 år","män","1937",44720
"0 år","män","1938",46445
"0 år","män","1939",48205
"0 år","män","1940",47338
"0 år","män","1941",49504
"0 år","män","1942",57063
"0 år","män","1943",62602
"0 år","män","1944",67740
"0 år","män","1945",67105
"0 år","män","1946",66576
"0 år","män","1947",64688
"0 år","män","1948",63499
"0 år","män","1949",61046
"0 år","män","1950",58162
"0 år","män","1951",55669
"0 år","män","1952",55756
"0 år","män","1953",55756
"0 år","män","1954",53175
"0 år","män","1955",54333
"0 år","män","1956",55113
"0 år","män","1957",53995
"0 år","män","1958",53618
"0 år","män","1959",53304
"0 år","män","1960",51513
"0 år","män","1961",52935
"0 år","män","1962",54228
"0 år","män","1963",57422
"0 år","män","1964",62050
"0 år","män","1965",62378
"0 år","män","1966",62766
"0 år","män","1967",61706
"0 år","män","1968",56854
"0 år","män","1969",54602
"0 år","män","1970",55466
"0 år","män","1971",57559
"0 år","män","1972",57702
"0 år","män","1973",55821
"0 år","män","1974",56142
"0 år","män","1975",52862
"0 år","män","1976",50402
"0 år","män","1977",49337
"0 år","män","1978",47585
"0 år","män","1979",49137
"0 år","män","1980",49623
"0 år","män","1981",48016
"0 år","män","1982",47658
"0 år","män","1983",47204
"0 år","män","1984",48140
"0 år","män","1985",50558
"0 år","män","1986",52177
"0 år","män","1987",53345
"0 år","män","1988",57645
"0 år","män","1989",59530
"0 år","män","1990",63526
"0 år","män","1991",63469
"0 år","män","1992",63013
"0 år","män","1993",59979
"0 år","män","1994",57173
"0 år","män","1995",53020
"0 år","män","1996",48505
"0 år","män","1997",46320
"0 år","män","1998",46011
"0 år","män","1999",45309
"0 år","män","2000",46764
"0 år","män","2001",47214
"0 år","män","2002",49275
"0 år","män","2003",51138
"0 år","män","2004",52037
"0 år","män","2005",52135
"0 år","män","2006",54684
"0 år","män","2007",55427
"0 år","män","2008",56528
"0 år","män","2009",57720
"0 år","män","2010",59496
"0 år","män","2011",57359
"0 år","män","2012",58309
"0 år","män","2013",58649
"0 år","män","2014",59584
"0 år","män","2015",59994
"0 år","män","2016",61005
"0 år","män","2017",59899
"0 år","män","2018",60032
"0 år","män","2019",59476
"0 år","män","2020",58485
"0 år","män","2021",58692
"0 år","män","2022",54095
"0 år","män","2023",51536
"0 år","män","2024",50937
"0 år","kvinnor","1860",58837
"0 år","kvinnor","1861",58136
"0 år","kvinnor","1862",60041
"0 år","kvinnor","1863",59384
"0 år","kvinnor","1864",60100
"0 år","kvinnor","1865",59622
"0 år","kvinnor","1866",60874
"0 år","kvinnor","1867",56586
"0 år","kvinnor","1868",49389
"0 år","kvinnor","1869",51571
"0 år","kvinnor","1870",52295
"0 år","kvinnor","1871",57235
"0 år","kvinnor","1872",56177
"0 år","kvinnor","1873",58422
"0 år","kvinnor","1874",58266
"0 år","kvinnor","1875",59489
"0 år","kvinnor","1876",59698
"0 år","kvinnor","1877",61639
"0 år","kvinnor","1878",59375
"0 år","kvinnor","1879",62588
"0 år","kvinnor","1880",59630
"0 år","kvinnor","1881",59325
"0 år","kvinnor","1882",59607
"0 år","kvinnor","1883",59386
"0 år","kvinnor","1884",62266
"0 år","kvinnor","1885",61604
"0 år","kvinnor","1886",63058
"0 år","kvinnor","1887",63400
"0 år","kvinnor","1888",62062
"0 år","kvinnor","1889",59709
"0 år","kvinnor","1890",59936
"0 år","kvinnor","1891",61030
"0 år","kvinnor","1892",58848
"0 år","kvinnor","1893",59686
"0 år","kvinnor","1894",60066
"0 år","kvinnor","1895",61631
"0 år","kvinnor","1896",61088
"0 år","kvinnor","1897",60678
"0 år","kvinnor","1898",62342
"0 år","kvinnor","1899",60917
"0 år","kvinnor","1900",62601
"0 år","kvinnor","1901",63337
"0 år","kvinnor","1902",63500
"0 år","kvinnor","1903",61677
"0 år","kvinnor","1904",61884
"0 år","kvinnor","1905",62657
"0 år","kvinnor","1906",62906
"0 år","kvinnor","1907",63236
"0 år","kvinnor","1908",63833
"0 år","kvinnor","1909",64645
"0 år","kvinnor","1910",61617
"0 år","kvinnor","1911",61728
"0 år","kvinnor","1912",61860
"0 år","kvinnor","1913",60414
"0 år","kvinnor","1914",60086
"0 år","kvinnor","1915",57198
"0 år","kvinnor","1916",56606
"0 år","kvinnor","1917",56481
"0 år","kvinnor","1918",54757
"0 år","kvinnor","1919",53694
"0 år","kvinnor","1920",63784
"0 år","kvinnor","1921",59769
"0 år","kvinnor","1922",54713
"0 år","kvinnor","1923",52952
"0 år","kvinnor","1924",51169
"0 år","kvinnor","1925",49696
"0 år","kvinnor","1926",47893
"0 år","kvinnor","1927",45929
"0 år","kvinnor","1928",45902
"0 år","kvinnor","1929",43535
"0 år","kvinnor","1930",43970
"0 år","kvinnor","1931",42810
"0 år","kvinnor","1932",42282
"0 år","kvinnor","1933",39952
"0 år","kvinnor","1934",39945
"0 år","kvinnor","1935",39969
"0 år","kvinnor","1936",42083
"0 år","kvinnor","1937",42539
"0 år","kvinnor","1938",44403
"0 år","kvinnor","1939",46162
"0 år","kvinnor","1940",45156
"0 år","kvinnor","1941",47346
"0 år","kvinnor","1942",54267
"0 år","kvinnor","1943",59825
"0 år","kvinnor","1944",63883
"0 år","kvinnor","1945",63216
"0 år","kvinnor","1946",63151
"0 år","kvinnor","1947",61456
"0 år","kvinnor","1948",60720
"0 år","kvinnor","1949",57780
"0 år","kvinnor","1950",54594
"0 år","kvinnor","1951",52530
"0 år","kvinnor","1952",52549
"0 år","kvinnor","1953",52487
"0 år","kvinnor","1954",50251
"0 år","kvinnor","1955",51423
"0 år","kvinnor","1956",51245
"0 år","kvinnor","1957",51627
"0 år","kvinnor","1958",50480
"0 år","kvinnor","1959",49962
"0 år","kvinnor","1960",49231
"0 år","kvinnor","1961",50072
"0 år","kvinnor","1962",51536
"0 år","kvinnor","1963",53931
"0 år","kvinnor","1964",59184
"0 år","kvinnor","1965",59006
"0 år","kvinnor","1966",59105
"0 år","kvinnor","1967",58232
"0 år","kvinnor","1968",54035
"0 år","kvinnor","1969",51311
"0 år","kvinnor","1970",52800
"0 år","kvinnor","1971",54424
"0 år","kvinnor","1972",54514
"0 år","kvinnor","1973",52850
"0 år","kvinnor","1974",53146
"0 år","kvinnor","1975",50254
"0 år","kvinnor","1976",47854
"0 år","kvinnor","1977",46591
"0 år","kvinnor","1978",45395
"0 år","kvinnor","1979",46777
"0 år","kvinnor","1980",47165
"0 år","kvinnor","1981",45921
"0 år","kvinnor","1982",45067
"0 år","kvinnor","1983",44414
"0 år","kvinnor","1984",45490
"0 år","kvinnor","1985",47638
"0 år","kvinnor","1986",49495
"0 år","kvinnor","1987",51111
"0 år","kvinnor","1988",54247
"0 år","kvinnor","1989",56317
"0 år","kvinnor","1990",60478
"0 år","kvinnor","1991",59884
"0 år","kvinnor","1992",59569
"0 år","kvinnor","1993",57394
"0 år","kvinnor","1994",54811
"0 år","kvinnor","1995",50052
"0 år","kvinnor","1996",46478
"0 år","kvinnor","1997",43860
"0 år","kvinnor","1998",43223
"0 år","kvinnor","1999",43058
"0 år","kvinnor","2000",43950
"0 år","kvinnor","2001",44439
"0 år","kvinnor","2002",46751
"0 år","kvinnor","2003",48092
"0 år","kvinnor","2004",49053
"0 år","kvinnor","2005",49420
"0 år","kvinnor","2006",51594
"0 år","kvinnor","2007",52330
"0 år","kvinnor","2008",53136
"0 år","kvinnor","2009",54400
"0 år","kvinnor","2010",56414
"0 år","kvinnor","2011",54755
"0 år","kvinnor","2012",55178
"0 år","kvinnor","2013",55359
"0 år","kvinnor","2014",56296
"0 år","kvinnor","2015",55884
"0 år","kvinnor","2016",58018
"0 år","kvinnor","2017",56715
"0 år","kvinnor","2018",56807
"0 år","kvinnor","2019",55907
"0 år","kvinnor","2020",55104
"0 år","kvinnor","2021",55971
"0 år","kvinnor","2022",51091
"0 år","kvinnor","2023",49120
"0 år","kvinnor","2024",48135
"1 år","män","1860",56001
"1 år","män","1861",54544
"1 år","män","1862",52933
"1 år","män","1863",55776
"1 år","män","1864",57346
"1 år","män","1865",57776
"1 år","män","1866",57017
"1 år","män","1867",59071
"1 år","män","1868",54103
"1 år","män","1869",46338
"1 år","män","1870",49490
"1 år","män","1871",51284
"1 år","män","1872",55772
"1 år","män","1873",55017
"1 år","män","1874",56291
"1 år","män","1875",55944
"1 år","män","1876",57282
"1 år","män","1877",57960
"1 år","män","1878",59775
"1 år","män","1879",57936
"1 år","män","1880",59803
"1 år","män","1881",57264
"1 år","män","1882",57878
"1 år","män","1883",58140
"1 år","män","1884",58325
"1 år","män","1885",61063
"1 år","män","1886",60387
"1 år","män","1887",61397
"1 år","män","1888",62318
"1 år","män","1889",60721
"1 år","män","1890",58004
"1 år","män","1891",58361
"1 år","män","1892",59972
"1 år","män","1893",57514
"1 år","män","1894",59410
"1 år","män","1895",59077
"1 år","män","1896",61014
"1 år","män","1897",60054
"1 år","män","1898",60749
"1 år","män","1899",61487
"1 år","män","1900",59360
"1 år","män","1901",61105
"1 år","män","1902",63018
"1 år","män","1903",62172
"1 år","män","1904",61119
"1 år","män","1905",62222
"1 år","män","1906",62098
"1 år","män","1907",63261
"1 år","män","1908",63624
"1 år","män","1909",64277
"1 år","män","1910",65094
"1 år","män","1911",62461
"1 år","män","1912",62349
"1 år","män","1913",62304
"1 år","män","1914",61427
"1 år","män","1915",60268
"1 år","män","1916",57677
"1 år","män","1917",57532
"1 år","män","1918",57155
"1 år","män","1919",55471
"1 år","män","1920",54684
"1 år","män","1921",65035
"1 år","män","1922",60739
"1 år","män","1923",55535
"1 år","män","1924",54297
"1 år","män","1925",52017
"1 år","män","1926",50966
"1 år","män","1927",48638
